City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Stokmarknes,NO,68.5646,14.9108,35.56,93,40,5.75,scattered clouds
186,Najran,SA,17.4924,44.1277,66.85,30,0,1.3,clear sky
187,Kupang,ID,-10.1667,123.5833,79.25,82,56,4.23,broken clouds
188,Tessalit,ML,20.1986,1.0114,77.05,18,61,11.05,broken clouds
189,Taltal,CL,-25.4,-70.4833,63.99,68,24,6.46,few clouds
190,Aginskoye,RU,51.1,114.53,30.07,64,61,4.36,broken clouds
191,Lake Havasu City,US,34.4839,-114.3224,76.23,18,0,16.11,clear sky
192,Togur,RU,58.3631,82.8265,28.87,90,84,10.76,broken clouds
193,Karabanovo,RU,56.3167,38.7,40.84,97,100,4.83,overcast clouds
194,Hutchinson,US,38.0608,-97.9298,82.35,36,20,39.12,dust
195,Fairbanks,US,64.8378,-147.7164,31.23,94,100,0.0,overcast clouds
196,Baherden,TM,38.4362,57.4316,59.27,72,84,6.91,broken clouds
197,Arman,RU,59.7,150.1667,16.03,65,100,10.47,overcast clouds
198,Upernavik,GL,72.7868,-56.1549,26.92,75,98,4.88,overcast clouds
199,Virginia Beach,US,36.8529,-75.978,62.02,96,100,17.27,mist
200,Halesowen,GB,52.4486,-2.0494,55.99,95,100,6.26,light rain
201,Salina,US,38.8403,-97.6114,87.93,33,0,32.21,dust
202,Yumen,CN,40.2833,97.2,45.57,29,0,5.75,clear sky
203,Cidreira,BR,-30.1811,-50.2056,63.32,83,42,9.86,scattered clouds
204,Scarborough,GB,54.2797,-0.4044,56.34,92,94,1.01,overcast clouds
205,Muros,ES,42.7762,-9.0603,62.83,82,31,14.83,scattered clouds
206,Bethel,US,41.3712,-73.414,60.89,62,100,5.75,overcast clouds
207,Kaka,TM,37.3482,59.6143,59.76,57,100,2.86,overcast clouds
208,Kodiak,US,57.79,-152.4072,44.11,49,0,18.41,clear sky
209,Lompoc,US,34.6391,-120.4579,76.78,43,0,16.11,clear sky
210,Teya,RU,60.3778,92.6267,28.69,79,100,12.24,overcast clouds
211,Hualmay,PE,-11.0964,-77.6139,65.64,72,98,11.25,overcast clouds
212,Marquette,US,46.5333,-87.6335,67.77,68,2,14.36,clear sky
213,Susanville,US,40.4163,-120.653,50.67,40,11,5.01,few clouds
214,Yerbogachen,RU,61.2767,108.0108,41.85,77,76,17.27,broken clouds
215,Ouesso,CG,1.6136,16.0517,72.36,98,100,1.61,overcast clouds
216,Avera,US,33.194,-82.5271,77.56,39,11,3.69,few clouds
217,Ayr,GB,55.4627,-4.6339,55.38,94,75,3.44,broken clouds
218,Tosya,TR,41.0155,34.0401,51.26,43,82,3.87,broken clouds
219,Kruisfontein,ZA,-34.0033,24.7314,60.89,94,100,4.27,overcast clouds
